temps;lapins;renards
0;321;117
1;321;123
2;325;131
3;321;135
4;321;141
5;316;142
6;304;144
7;304;145
8;292;147
9;267;146
10;249;146
11;221;146
12;197;149
13;179;148
14;163;144
15;144;133
16;143;127
17;133;122
18;121;121
19;96;122
20;80;119
21;72;111
22;64;109
23;55;105
24;45;95
25;48;85
26;44;82
27;49;72
28;46;64
29;48;55
30;60;52
31;62;42
32;71;35
33;76;32
34;79;25
35;87;21
36;98;17
37;117;15
38;140;15
39;160;15
40;185;17
41;205;18
42;228;19
43;254;21
44;278;22
45;303;23
46;327;25
47;356;26
48;384;26
49;405;27
50;444;29
51;470;31
52;507;34
53;528;40
54;555;42
55;576;45
56;585;49
57;590;55
58;603;58
59;621;58
60;630;58
61;634;62
62;651;65
63;670;63
64;674;67
65;678;67
66;676;65
67;679;68
68;682;72
69;694;73
70;690;71
71;689;75
72;687;77
73;682;78
74;670;81
75;663;81
76;661;81
77;648;83
78;634;85
79;618;85
80;627;85
81;623;88
82;605;86
83;586;83
84;572;77
85;567;81
86;561;83
87;555;80
88;551;82
89;548;86
90;549;87
91;528;89
92;521;87
93;525;87
94;516;88
95;501;87
96;497;85
97;499;87
98;495;87
99;503;87
100;518;89
101;518;90
102;511;90
103;506;92
104;502;90
105;499;95
106;501;100
107;484;102
108;487;104
109;491;104
110;500;105
111;505;102
112;510;105
113;503;109
114;522;111
115;518;109
116;503;108
117;496;103
118;501;103
119;480;100
120;470;94
121;463;94
122;459;95
123;434;94
124;409;96
125;394;100
126;370;98
127;352;102
128;331;103
129;315;104
130;298;103
131;277;100
132;260;96
133;249;92
134;234;89
135;219;85
136;219;85
137;212;82
138;222;75
139;223;70
140;219;70
141;223;65
142;224;60
143;239;64
144;251;60
145;265;59
146;272;58
147;285;61
148;300;61
149;313;62
150;338;59
151;368;59
152;399;57
153;435;54
154;474;51
155;529;49
156;580;47
157;626;47
158;673;43
159;705;35
160;731;31
161;760;31
162;785;29
163;808;30
164;821;33
165;839;32
166;860;34
167;881;36
168;881;40
169;909;43
170;921;46
171;921;45
172;931;47
173;929;46
174;940;47
175;954;49
176;954;48
177;956;46
178;969;45
179;973;46
180;976;46
181;970;50
182;961;51
183;972;53
184;968;57
185;959;59
186;942;65
187;937;72
188;903;74
189;885;75
190;858;80
191;838;82
192;807;92
193;785;94
194;756;97
195;710;102
196;685;108
197;644;109
198;619;115
199;586;117
